Feature_ID	Taxon	Confidence	ASVs
8e1dcba358617dc87ba3c52ab1b9083f	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	0.998828092	ASV126
ee512496a1e0831d4a6b4821a5ed6d53	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia	0.989557657	ASV127
20a8db6e94c9e6d202b89525ea90533b	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	0.999747223	ASV128
20b20f60ecdd4e0bcc4b3cfb66667f9e	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae	0.986117445	ASV129
ed14a1610e09d2189b111054adb6a572	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;Mitochondria	0.944943956	ASV130
444a211bd5cb8bcbf6bd29f57f552286	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	0.999332418	ASV131
6a6fc59dc416b10ab53b1aea066984b2	Bacteria;Actinobacteriota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Lechevalieria	0.975938835	ASV132
a77820b68fb2d1f21b97ec184946b5e3	Archaea	0.771468851	ASV133
a22d464c2e7344529a6b21861f894624	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	0.99914976	ASV134
c781e60d650258ef6e5cc85ebf0177e8	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium	0.999885915	ASV135
6d97301dd076fd7d1e3502341469ce83	Bacteria;Actinobacteriota;Acidimicrobiia;IMCC26256;IMCC26256;IMCC26256;s__uncultured_Actinomycetales	0.824644982	ASV136
d10c8c9d4d911cccafa7ed353f893901	Bacteria;Firmicutes;Bacilli;Alicyclobacillales;Alicyclobacillaceae;Tumebacillus	0.99997685	ASV137
23c53a197d36f24d5fa48e3adf20f9bc	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae	0.996255403	ASV138
9ee1e8d39093911299df195af615817f	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;Mitochondria	0.99164349	ASV139
998f09bbcfaf3d6b0afdb3e84836bb2b	Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Solirubrobacteraceae;s__uncultured_Rubrobacteria	0.732651194	ASV140
c105f78b4519b72b7486b1b16bb9d634	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;s__Sphingomonas_aerolata	0.847157258	ASV141
d08a0b35d79308f515400b8a4718b725	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea	0.762503429	ASV142
3431a28cc813520a7fd1a9667cf07060	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Alcaligenaceae;Alcaligenes	0.986690455	ASV143
49c491590439e9ac2f3dce39d3704935	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium	0.997103441	ASV144
5f40d7677167f8f667ff848052bd5cce	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia	0.973083229	ASV145
76b072254aa16e06226f3697ece0cf59	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea	0.770312513	ASV146
dfee1cd82b76c6ed4eaf21f3e4ec7fd9	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia	0.986984716	ASV147
9304494ad5b82f0ad6c585d39f883f82	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae	0.99999695	ASV148
5f7e23a4cac63194a6ff2179b6b3e425	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae	0.98385579	ASV149
b52968f4129b746ead4953a47eaa490e	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium	0.999186046	ASV150
c37f7b5d32d9eee186493773c587d599	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rubellimicrobium;s__uncultured_bacterium	0.735766279	ASV151
19d030baaea4bf8c44dac879cd705a9d	Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Marmoricola	0.98534452	ASV152
d9c08c2b823f2a32d51d733e965b7636	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter	0.999999497	ASV153
cac4f342ee761c78d5c326d807e978db	Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Marmoricola;s__uncultured_bacterium	0.714115853	ASV154
7c6194d925979e8e30dbe18480243ef9	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Altererythrobacter;s__Porphyrobacter_mercurialis	0.988077926	ASV155
75d1f23cd7f646dd0f98460f4bdb06ee	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae	0.988243721	ASV156
2357e921847567cc12726f071ecd8630	Bacteria;Firmicutes;Bacilli;Exiguobacterales;Exiguobacteraceae;Exiguobacterium	0.999959154	ASV157
84ea7ff1fa83c8f499c0c43397b15c21	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;Mitochondria	0.999968904	ASV158
294250ee58e5bb4d6740a0362e087fb2	Bacteria;Actinobacteriota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Saccharopolyspora;s__Saccharopolyspora_rectivirgula	0.998719154	ASV159
cc3cb6b68fd2a446c1dfeb5d2d687920	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae	0.999854418	ASV160
07e3413142f0eea054317222f1546a30	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus	0.987261071	ASV161
7018dffa9d1f2a33bff6839704dd5c35	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Noviherbaspirillum	0.917971766	ASV162
389b1da6013e61acfa766f911754d8f3	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	0.996686751	ASV163
e512ae2f9bd483f281da56ef45a8186c	Bacteria;Actinobacteriota;Actinobacteria;Frankiales;uncultured;uncultured;s__uncultured_bacterium	0.908443767	ASV164
3e54c8ed728b7ddd3ded6550e47864a4	Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;uncultured;s__uncultured_bacterium	0.805238569	ASV165
51f279dd22c251c8eb2afb532838563b	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Delftia	0.980059671	ASV166
70878929aa57e9249d596a5fed3b5945	Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Friedmanniella	0.964211138	ASV167
6d75b8c3f27badb0e51f00879a43b171	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae	0.971814754	ASV168
